Name,Quantity,Component
"U1",1," Arduino Uno R3"
"S1, S2",2," Pushbutton"
"Digit1",1,"Cathode 7 Segment Display"
"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12",11,"1 kΩ Resistor"
"Rpot1",1,"250 kΩ Potentiometer"
"R1",1," Photoresistor"
"U2",1," 8-Bit Shift Register"
"SERVO1",1,"Positional Micro Servo"
